::1 - - [03/Apr/2022:08:57:14 +0000] "GET /api/server/log/info HTTP/1.1" 404 236 "-" "PostmanRuntime/7.29.0"
::1 - - [03/Apr/2022:08:59:10 +0000] "GET /api/server/log/info HTTP/1.1" 404 236 "-" "PostmanRuntime/7.29.0"
::1 - - [03/Apr/2022:08:59:30 +0000] "GET /api/server/log/error HTTP/1.1" 200 204 "-" "PostmanRuntime/7.29.0"
::1 - - [03/Apr/2022:08:59:52 +0000] "GET /api/server/log/info HTTP/1.1" 200 - "-" "PostmanRuntime/7.29.0"
::1 - - [05/Apr/2022:03:58:56 +0000] "POST /api/send-otp HTTP/1.1" 200 126 "http://localhost:3000/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.60 Safari/537.36"
::1 - - [05/Apr/2022:03:59:40 +0000] "POST /api/verify-otp HTTP/1.1" 200 274 "http://localhost:3000/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.60 Safari/537.36"
::1 - - [05/Apr/2022:04:00:35 +0000] "POST /api/payment-success HTTP/1.1" 500 251 "http://localhost:3000/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.60 Safari/537.36"
::1 - - [05/Apr/2022:04:01:26 +0000] "POST /api/verify-otp HTTP/1.1" 200 274 "http://localhost:3000/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.60 Safari/537.36"
::1 - - [05/Apr/2022:04:01:50 +0000] "POST /api/payment-success HTTP/1.1" 500 251 "http://localhost:3000/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.60 Safari/537.36"
::1 - - [05/Apr/2022:04:03:04 +0000] "POST /api/verify-otp HTTP/1.1" 200 274 "http://localhost:3000/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.4896.60 Safari/537.36"
